year,make,model,miles,trim,sold_price
2017,Dodge,Grand Caravan Passenger,54777,SE Plus,21590
2016,Subaru,Legacy,67086,2.5i Premium,19590
2014,Mercedes-Benz,E-Class,29604,E 350,27590
2013,Volkswagen,Tiguan,72418,2.0T SE 4Motion,17590
2019,Lincoln,Nautilus,36110,Reserve,41590
2021,Lexus,IS,3252,IS 350 F SPORT,49990
2017,Subaru,Impreza,52297,2.0i Premium,20990
2016,Audi,A5,58663,Premium,29990
2019,GMC,Acadia,27068,SLE-2,31390
2015,Kia,Optima,60889,Limited,20590
2012,Hyundai,Tucson,91453,GLS,15590
2020,Nissan,Rogue Sport,55156,S,18998
2017,Chevrolet,Volt,47451,LT,24990
2018,Nissan,Kicks,52678,SR,21990
2019,Dodge,Durango,30325,R/T,43990
2012,Chevrolet,Malibu,51733,LT,15590
2010,MAZDA,MAZDA6,69910,i Sport Value,12990
2018,BMW,4 Series,56979,430i Gran Coupe,29990
2018,Ford,Edge,51713,SEL,25590
2013,Kia,Soul,53302,+,15990
2015,Chevrolet,Trax,23999,LT,19590
2016,Cadillac,CTS,27298,2.0 Luxury Collection,30990
2020,Nissan,Armada,69609,SV,30975
2017,Ford,Escape,85303,SE,16990
2020,Chevrolet,Malibu,57711,LT,19653
2010,Lexus,ES,97175,ES 350,16590
2013,Subaru,Outback,84552,2.5i,16990
2016,Kia,Sorento,103767,LX,16590
2017,Jeep,Cherokee,67296,Latitude,20590
2015,Honda,CR-V,66768,EX-L,22990
2018,Chevrolet,Impala,68071,LT,20590
2014,Ram,1500 Quad Cab,55676,Laramie 6 1/3 ft,28990
2013,Land Rover,Range Rover Evoque,79681,Dynamic,23990
2011,Buick,LaCrosse,50137,CXL,16590
2014,Kia,Soul,67834,base,14590
2013,Hyundai,Elantra,69776,Limited,14990
2011,Nissan,Titan Crew Cab,75102,SV 5 1/2 ft,23990
2018,Ram,1500 Crew Cab,46640,Express 5 1/2 ft,29590
2019,Mercedes-Benz,A-Class,28234,A 220 4MATIC,33990
2019,Lexus,ES,18082,ES 350,37990
2021,Jeep,Renegade,9078,Latitude,27990
2019,Chevrolet,Equinox,65659,LT,20658
2017,Jeep,Cherokee,53294,Sport Altitude,23590
2018,Cadillac,CT6,49543,3.6 Premium Luxury,43990
2016,Scion,tC,69693,Hatchback,18990
2018,Dodge,Durango,75342,SXT Plus,25590
2016,Chevrolet,Cruze Limited,52009,1LT,14990
2018,Honda,Civic,56004,Sport,24990
2016,Ford,Fusion,72151,SE,16990
2015,Honda,Civic,78748,LX,16990
2021,MAZDA,CX-30,41525,Select,23845
2013,BMW,5 Series,74215,535i Gran Turismo xDrive,21590
2013,Honda,CR-V,82976,EX-L,18590
2018,Toyota,RAV4,39532,LE,26990
2020,Nissan,Rogue Sport,54414,S,18999
2016,Chevrolet,Trax,63773,LS,16590
2020,Honda,Civic,18023,LX,25990
2016,Jeep,Wrangler,34066,75th Anniversary Edition,33990
2015,Chevrolet,Trax,95496,LT,15990
2015,Subaru,Impreza,69275,2.0i Sport Limited,19990
2017,Kia,Sportage,17497,EX,24990
2015,Honda,Pilot,103154,SE,20590
2018,Ford,Focus,60818,SE,15990
2021,Ford,Mustang,5295,GT Premium,46590
2010,Jeep,Patriot,104630,Limited,12990
2016,Honda,Pilot,66070,EX-L,26990
2017,Jaguar,XE,17397,XE 35t Premium,30590
2018,GMC,Acadia,30755,SLT-1,30590
2022,Hyundai,Palisade,6335,Calligraphy,54990
2013,INFINITI,JX,78639,JX35,20990
2016,Chevrolet,Equinox,88535,LS,16990
2017,Hyundai,Tucson,56244,SE,17701
2019,Hyundai,Tucson,44343,Ultimate,31779
2017,Subaru,Crosstrek,78617,2.0i Premium,22590
2017,Volkswagen,Tiguan,62142,2.0T S 4Motion,18590
2017,MINI,Clubman,34781,Cooper ALL4,23990
2017,MINI,Countryman,66701,Cooper S,23990
2019,Ford,Fiesta,28387,SE,17990
2020,Jeep,Wrangler,27374,Sport,34990
2012,Honda,Accord,99975,LX,14990
2016,Ford,Explorer,62027,XLT,26590
2019,Ford,Flex,62000,Limited,34316
2019,Buick,Encore,13637,Preferred,22990
2015,Dodge,Durango,89455,Limited,23590
2014,Chevrolet,Cruze,34865,LS,15990
2014,Jeep,Patriot,104496,Altitude Edition,14990
2010,Honda,Pilot,37850,LX,16990
2013,Mercedes-Benz,E-Class,46260,E 350,22990
2016,Toyota,Tacoma Double Cab,91833,SR5 5 ft,29990
2014,Subaru,Outback,100294,2.5i Premium,17590
2014,Lexus,ES,75982,ES 350,23990
2017,Ford,Fusion Energi,34555,Plug-In Hybrid SE Luxury,22990
2012,MAZDA,MAZDA2,102730,Sport,13990
2009,MINI,Hardtop,92601,Cooper S,11590
2020,Chevrolet,Equinox,58845,LT,20212
2015,Buick,LaCrosse,90367,Leather,17590
2015,Honda,CR-V,72885,LX,20990
2019,Subaru,Legacy,34483,2.5i,23990
2018,Buick,Enclave,42017,Essence,30590
2016,Toyota,Corolla,80920,S Plus,17990
2015,Ford,C-MAX Energi,47447,SEL,20590
2015,Jeep,Renegade,80198,Latitude,18990
2016,MAZDA,CX-5,74718,Touring,19990
2019,BMW,X3,44311,xDrive30i,37590
2020,Kia,Forte,46596,LXS,19918
2016,Dodge,Journey,91212,Crossroad Plus,16990
2015,Chevrolet,Equinox,81734,LT,16590
2013,Honda,CR-V,36502,LX,21990
2012,MINI,Countryman,77416,Cooper S ALL4,16990
2014,Lexus,RX,97821,RX 350,21590
2019,Land Rover,Range Rover Velar,48765,R-Dynamic SE,51985
2019,Volkswagen,Golf GTI,17702,Rabbit Edition Hatchback,32590
2016,Chevrolet,Silverado 1500 Double Cab,67632,Z71 LT 6 1/2 ft,32990
2013,Ford,Fusion,74172,SE,14990
2013,Honda,CR-Z,88412,base,14990
2019,Dodge,Grand Caravan Passenger,75674,GT,19125
2014,Lincoln,Navigator,77187,base,25590
2017,GMC,Canyon Crew Cab,48813,SLT 5 ft,33590
2018,Ford,Focus,49817,SE,16590
2020,Toyota,Corolla,52243,LE,19964
2016,Volkswagen,Jetta,97006,1.8T SEL,16590
2019,Subaru,Impreza,31665,2.0i Premium,23990
2017,Mitsubishi,Outlander Sport,34631,ES,18990
2012,Honda,Ridgeline,104023,Sport 5 ft,20990
2016,Kia,Soul,72904,base,15590
2010,Nissan,370Z,26835,Touring,26990
2015,Chevrolet,Sonic,66626,LT,14990
2017,Subaru,Legacy,41321,2.5i,21990
2020,Chevrolet,Malibu,53660,LT,19983
2013,MINI,Roadster,18980,Cooper S,24990
2015,Ford,Explorer,104798,base,17990
2016,Honda,Odyssey,83822,EX-L,26590
2012,Honda,Civic,62369,LX,16590
2014,Chevrolet,Silverado 1500 Double Cab,19801,Z71 LT 6 1/2 ft,32990
2016,Buick,Enclave,90437,Leather,22590
2018,Hyundai,Elantra,65304,SEL,18990
2015,Nissan,Xterra,66932,S,22990
2017,Hyundai,Sonata,98393,SE,15590
2014,Lexus,RX,74407,RX 350,22590
2018,Subaru,Crosstrek,40860,2.0i Premium,26990
2020,Lexus,GS,19233,GS 350 F SPORT,45590
2014,Audi,Q5,48809,2.0T Premium Plus,24590
2015,Nissan,Frontier Crew Cab,85584,SV 6 ft,22990
2020,Chevrolet,Equinox,40274,LT,24590
2015,Nissan,Rogue Select,87450,S,15990
2014,Subaru,Outback,97513,2.5i,17590
2015,Dodge,Charger,91182,R/T,26990
2021,Hyundai,Kona,23949,SE,24990
2017,Toyota,Camry,41626,SE,22590
2012,Audi,A3,47988,2.0 TDI Premium,20990
2012,INFINITI,G,100532,G37x,17990
2016,BMW,2 Series,52281,M235i xDrive,31590
2017,Volkswagen,Golf GTI,26901,S Hatchback,24990
2018,Ford,Mustang,55630,EcoBoost,24990
2020,Buick,Encore,50846,Essence,21550
2019,Volkswagen,Jetta,63167,1.4T S,19990
2022,Ford,Bronco,6259,base,58990
2017,Jeep,Cherokee,70014,Limited,23590
2019,Volvo,XC90,17081,T5 Momentum,43990
2019,Volkswagen,Beetle,9926,2.0T Final Edition SEL,33990
2017,Honda,HR-V,34995,EX,23990
2016,Audi,Q3,54671,Prestige,25990
2016,Honda,Civic,47316,EX-T,22990
2014,Scion,xD,63259,base,14990
2017,Audi,Q7,30812,2.0T Premium Plus,38590
2012,Chevrolet,Colorado Crew Cab,78577,LT 5 ft,20990
2012,Chevrolet,Camaro,71404,SS,26990
2016,Ford,Explorer,103726,XLT,20990
2022,Kia,Soul,3520,LX,24990
2015,Kia,Optima,57100,LX,16590
2018,Ford,Fusion,55884,SE,18945
2017,Ford,Escape,68395,S,17990
2021,Toyota,Sequoia,10540,TRD Sport,63990
2020,GMC,Terrain,50590,SLT,25100
2016,Jeep,Compass,79409,Sport,15590
2017,Toyota,Highlander Hybrid,47202,Limited Platinum,41990
2014,Nissan,Maxima,97237,SV,15990
2015,MINI,Countryman,51417,Cooper S,19590
2020,Hyundai,Kona,10595,SE,23990
2019,Volkswagen,Jetta,28039,1.4T SE,23990
2015,Mercedes-Benz,GLK-Class,62253,GLK 350 4MATIC,25590
2017,Hyundai,Accent,48457,SE,15990
2016,Volkswagen,Jetta,59320,1.8T Sport,18990
2017,Jeep,Compass,78254,High Altitude Edition,18590
2016,Honda,Civic,39229,LX,21590
2015,Jeep,Compass,69910,Sport,16590
2013,Hyundai,Elantra,89099,GLS,14590
2014,Toyota,RAV4,42407,Limited,24990
2020,Chevrolet,Trax,30039,LT,20590
2016,Nissan,Altima,62149,2.5 SR,18990
2015,Ford,Taurus,51008,SEL,18990
2022,Tesla,Model 3,2991,Long Range,65999
2016,Jeep,Grand Cherokee,72639,Limited,25590
2016,GMC,Acadia,44512,Denali,31990
2015,MINI,Hardtop 4 Door,27444,Cooper,20990
2019,Kia,Forte,44269,S,20990
2018,Hyundai,Santa Fe Sport,28102,base,24990
2021,Nissan,Sentra,11648,SR,26590
2017,Chevrolet,Cruze,59441,LS,16590
2016,Volvo,XC90,80324,T6 Momentum,28514
2022,Toyota,Sienna,5375,LE,51990
2016,MINI,Convertible,61362,Cooper,22990
2013,Volkswagen,Passat,70934,TDI SEL Premium,17590
2016,Cadillac,Escalade,72115,Luxury,46990
2015,Chevrolet,Cruze,80428,1LT,14590
2017,Audi,Q5,29356,2.0T Premium Plus,32990
2014,Ford,Fusion,71337,SE,15990
2015,Chrysler,300,101910,300C,19590
2017,BMW,3 Series,45457,330i,26990
2015,GMC,Terrain,96359,SLE-1,16590
2013,Nissan,Rogue,77967,SV,16990
2020,Nissan,Rogue,49400,SV,22450
2020,INFINITI,QX60,55897,PURE,28995
2010,Jeep,Wrangler,79801,Sport,21990
2015,Hyundai,Santa Fe Sport,59875,2.0T,22990
2012,GMC,Yukon XL 1500,91386,SLT,24990
2018,Ford,Fiesta,30787,ST,21990
2018,Jeep,Compass,60239,Latitude,20990
2017,Audi,S3,64324,Premium Plus,32590
2017,Jeep,Patriot,72250,High Altitude Edition,18590
2016,Volkswagen,Jetta,62832,1.8T Sport,17990
2015,Hyundai,Accent,50723,GLS,14990
2015,Jaguar,XF,56264,XF Sport,24590
2018,Ford,Mustang,71971,EcoBoost Premium,26990
2015,Nissan,Xterra,95575,S,20590
2017,GMC,Yukon,38160,SLE,41990
2015,BMW,2 Series,45459,228i xDrive,24990
2017,Dodge,Journey,73433,SE,17590
2012,Tesla,Model S,36285,base,43990
2015,Subaru,Legacy,63615,2.5i Premium,18990
2013,Buick,LaCrosse,83546,Leather,16590
2013,GMC,Terrain,103772,Denali,18590
2017,Chevrolet,Volt,81291,LT,22990
2014,Toyota,Corolla,103741,L,15590
2017,Ford,Escape,7090,SE,23990
2017,Ford,Expedition,49128,XLT,32990
2013,Nissan,Altima,68701,2.5 SL,16990
2015,Hyundai,Sonata,82806,SE,16590
2016,MINI,Countryman,25604,Cooper S,24990
2020,MAZDA,CX-5,41867,Touring,26590
2013,Lexus,IS,60862,IS 250,21990
2018,Ford,Focus,76823,S,14990
2014,Honda,Odyssey,68997,EX,22990
2011,Ford,Edge,93045,Limited,16590
2020,Nissan,Rogue,52318,S,21399
2016,Jeep,Grand Cherokee,88998,Limited,22590
2019,BMW,5 Series,38567,530i xDrive,38590
2019,Volkswagen,Jetta,24419,1.4T R-Line,23990
2015,Volkswagen,Jetta,72844,1.8T SE,15590
2017,Dodge,Journey,50700,SE,18990
2012,Jeep,Wrangler,88880,Sport,22990
2019,Honda,Civic,49599,Sport Touring,28990
2013,Hyundai,Santa Fe,70240,GLS,18990
2015,Kia,Optima,61969,LX,16990
2015,Chevrolet,Colorado Crew Cab,87445,Z71 5 ft,28990
2018,Chevrolet,Equinox,56326,LT,21000
2010,Lexus,IS,74865,IS 250 Sport,20990
2016,Volkswagen,Golf SportWagen,87532,TSI Limited Edition,17590
2020,Toyota,Highlander,51497,XLE,35950
2020,Subaru,Forester,23035,Limited,34590
2015,Volkswagen,Tiguan,53634,2.0T S,17990
2015,Mitsubishi,Mirage,82130,ES,12990
2016,Ford,Fusion Energi,68148,Plug-In Hybrid SE Luxury,18990
2020,Ford,Mustang,14331,Shelby GT500,88990
2021,Nissan,Kicks,6015,S,25590
2021,Nissan,Titan Crew Cab,9759,SV 5 1/2 ft,39990
2014,Honda,CR-V,50871,EX,20590
2016,Dodge,Grand Caravan Passenger,69793,SXT,18590
2019,GMC,Acadia,32387,SLE-1,27990
2016,Mitsubishi,Outlander Sport,42397,SE,18990
2015,BMW,4 Series,28628,435i Gran,31990
2019,Kia,Rio,42509,S,18590
2017,Kia,Forte,26602,LX,17990
2015,BMW,i3,36447,base,21990
2013,BMW,3 Series,7330,320i,23990
2020,Buick,Encore,24587,Preferred,23590
2010,Toyota,Yaris,50465,base,13990
2014,Buick,Enclave,85329,Leather,19990
2015,Nissan,Altima,79952,2.5 S,15590
2018,Buick,Encore,53611,Essence,20993
2018,FIAT,124 Spider,26908,Lusso,24990
2015,Volkswagen,Tiguan,96148,2.0T S,15990
2019,Alfa Romeo,Stelvio,18537,base,36590
2016,Volkswagen,Touareg,97582,VR6 Lux,22990
2014,Ford,Fusion,69622,SE,14990
2018,Ford,Flex,62703,SEL,25990
2012,Volkswagen,Jetta,103661,2.5L SE,13590
2020,GMC,Yukon XL,72483,SLT,42771
2019,Chevrolet,Equinox,50904,LT,20845
2011,BMW,5 Series,68944,528i,17990
2021,Volvo,XC90,14470,T5 Momentum,51590
2018,Ford,Mustang,26200,GT,37990
2016,Ram,1500 Quad Cab,63232,Express 6 1/3 ft,29590
2015,BMW,2 Series,37736,M235i,32590
2017,MAZDA,MAZDA3,53591,Touring,19990
2015,Audi,Q7,63472,3.0T S line Prestige,30990
2021,Kia,Soul,25958,LX,22990
2016,Chevrolet,Malibu,68987,LT,17990
2018,GMC,Sierra 1500 Crew Cab,37459,Denali 5 3/4 ft,47990
2015,Chevrolet,Cruze,16248,LS,17590
2016,Lexus,NX,59221,200t,27590
2014,Ford,Focus,59446,SE,14590
2019,Subaru,Crosstrek,54360,2.0i Premium,25333
2020,Cadillac,CT4,13041,Premium Luxury,37990
2014,BMW,X1,52646,xDrive28i,20990
2017,Volkswagen,Jetta,41520,1.4T SE,19990
2011,Scion,tC,85901,Hatchback,14590
2017,Ford,Fiesta,39880,SE,16590
2018,Nissan,LEAF,38431,SL,26990
2017,Land Rover,Discovery Sport,80411,HSE,26990
2011,Chevrolet,Corvette,58572,Grand Sport,39590
2018,Dodge,Grand Caravan Passenger,81489,SE,18990
2016,Kia,Sedona,48434,LX,22990
2019,Nissan,Rogue,18377,S,25000
2013,Hyundai,Veloster,88684,base,14990
2012,Toyota,Venza,86495,Limited,19590
2015,Toyota,Camry,90430,SE,17990
2015,Mercedes-Benz,CLA-Class,51263,CLA 250 4MATIC,25990
2016,BMW,7 Series,56618,740i,37990
2014,Ford,Explorer,72107,base,19990
2016,Dodge,Journey,66057,R/T,18990
2015,BMW,3 Series,76513,328i,19990
2011,Chevrolet,Corvette,23729,Grand Sport,44590
2010,Toyota,Prius,97664,II,16590
2021,Jeep,Wrangler Unlimited,7793,Willys,45990
2021,Chevrolet,Silverado 1500 Crew Cab,11751,LT Trail Boss 5 3/4 ft,52990
2019,Volkswagen,Golf GTI,10632,SE Hatchback,34990
2020,MAZDA,CX-5,51044,Touring,24293
2010,Toyota,Highlander,80757,SE,19990
2016,Jeep,Grand Cherokee,65300,Laredo,22590
2019,Honda,CR-V,14479,EX,30990
2019,Jeep,Compass,21448,Limited,25590
2017,Hyundai,Santa Fe Sport,44790,base,22990
2016,BMW,3 Series,68257,328i,21990
2015,BMW,5 Series,70324,528i,22990
2016,Porsche,Cayenne,59341,base,38990
2016,Ford,Edge,91428,Sport,22990
2017,Hyundai,Elantra,47731,SE Value Edition,17990
2017,Chevrolet,Equinox,56826,LS,18990
2014,Ford,Mustang,38883,V6 Premium,22990
2019,Toyota,Camry Hybrid,31457,LE,30990
2021,Toyota,Corolla,6508,SE,27990
2018,BMW,X2,23131,sDrive28i,32590
2022,Ford,Bronco,2257,Big Bend,59590
2016,FIAT,500X,50670,Trekking,16990
2021,Tesla,Model 3,11477,Standard Range Plus,55990
2022,Hyundai,Santa Cruz,2497,SEL 4 ft,35990
2012,Volkswagen,Passat,99167,2.5L S,12990
2017,Nissan,Quest,81944,SV,19990
2010,Toyota,Camry,49922,LE,16590
2012,Ford,F150 Regular Cab,95308,XL 6 1/2 ft,16990
2012,Subaru,Impreza,102158,2.0i,13590
2018,Mitsubishi,Outlander,50925,SE,21990
2017,Buick,Enclave,56974,Leather,26990
2010,Mercedes-Benz,E-Class,18961,E 350 4MATIC,20990
2019,Ford,EcoSport,16195,S,21990
2020,Toyota,Camry Hybrid,7915,LE,34590
2021,Kia,Soul,18307,LX,22990
2011,Audi,Q7,72013,3.0T Quattro Prestige,20990
2014,Cadillac,Escalade ESV,27749,Luxury,43590
2019,Honda,CR-V,28581,LX,27990
2013,INFINITI,G,68928,G37 Journey,20990
2020,Nissan,Altima,32399,2.5 S,23990
2019,Ford,Explorer,19680,XLT,35590
2013,Hyundai,Veloster,89270,Turbo,14990
2019,Mercedes-Benz,GLA,41125,GLA 250,30590
2016,FIAT,500 Abarth,39651,base,19990
2019,Chevrolet,Suburban,62203,LT,44048
2014,Chevrolet,Camaro,60412,LT,23990
2015,Lincoln,MKX,48000,base,23590
2014,Jeep,Compass,62804,Latitude,16590
2017,Chevrolet,Spark,39154,LS,15990
2017,Ford,F150 SuperCrew Cab,96980,XLT 6 1/2 ft,28990
2014,Cadillac,ATS,69179,2.0L Turbo Standard,19590
2014,Ford,Escape,51857,SE,16990
2016,Chevrolet,Cruze,59042,LT,17990
2016,MINI,Convertible,26029,Cooper S,26990
2012,Toyota,Highlander,96778,base,19990
2014,Audi,Q5,42426,3.0T Premium Plus,26590
2017,Ford,Explorer,67890,XLT,26990
2021,Toyota,Highlander Hybrid,36353,XLE,47990
2019,Chevrolet,Silverado 1500 Crew Cab,43616,LT 5 3/4 ft,40990
2015,MAZDA,MAZDA3,88970,i Sport,15990
2014,Toyota,Corolla,98576,LE Premium,15990
2015,Chevrolet,Spark EV,50148,2LT,15990
2015,Volkswagen,Golf SportWagen,86152,TDI SE,20590
2012,Scion,tC,96515,Hatchback,15990
2016,Chevrolet,Traverse,58608,LS,21990
2020,Ram,1500 Classic Crew Cab,56472,Tradesman 6 1/3 ft,33990
2014,Chevrolet,Equinox,57789,LS,17590
2017,Chevrolet,Malibu,57897,LS,19590
2013,Kia,Forte,102064,EX,12990
2020,Chevrolet,Traverse,50706,LS,29590
2016,Subaru,Impreza,36651,2.0i Premium,19990
2016,Honda,Civic,83813,LX,19590
2020,Chevrolet,Malibu,57542,LT,21045
2012,Nissan,Murano,72129,LE,18990
2013,Honda,Crosstour,92179,EX-L,17590
2015,BMW,X5,72724,xDrive35i,27590
2013,Tesla,Model S,95934,Performance,38990
2015,Volkswagen,Passat,87961,1.8T Limited Edition,14990
2020,Cadillac,CT4,9710,Premium Luxury,39990
2018,Mitsubishi,Mirage G4,10925,ES,16990
2019,Honda,Civic,31170,LX,23990
2016,Kia,Soul,98028,+,14590
2016,Volkswagen,Golf GTI,39260,Autobahn Hatchback,26990
2019,Buick,Encore,37314,Preferred,22590
2018,Ford,F150 SuperCrew Cab,82146,Lariat 5 1/2 ft,41990
2016,Chevrolet,Equinox,66979,LT,19590
2012,MINI,Hardtop,43816,Cooper,15590
2016,Jeep,Compass,99794,Latitude,15590
2009,Acura,TSX,97721,base,14990
2018,Chevrolet,Traverse,46513,LT,30590
2019,Honda,Clarity Plug-in Hybrid,37306,base,28990
2017,Ford,F150 SuperCrew Cab,46405,XLT 5 1/2 ft,36990
2015,Jaguar,XF,58846,XF Premium,22590
2014,Ford,Mustang,63716,GT Premium,28990
2022,Honda,CR-V,1294,EX-L,39990
2017,MAZDA,MAZDA6,73328,Grand Touring (2017.5),20990
2015,Ford,Fiesta,98850,SE,12990
2018,Chevrolet,Equinox,50745,LT,20400
2018,INFINITI,Q50,56516,3.0t LUXE,25762
2017,Chevrolet,Camaro,10059,LT,27990
2021,Toyota,RAV4,6634,XLE Premium,38990
2015,Honda,Civic,84268,EX,15990
2019,Nissan,Sentra,32079,SV,20990
2019,Chrysler,300,59840,300S,26990
2012,Cadillac,CTS,27945,3.6,24990
2016,Ford,C-MAX Energi,102941,SEL,16590
2015,Jeep,Grand Cherokee,84911,Laredo E,21590
2020,Jeep,Wrangler Unlimited,52035,Sahara,40776
2020,Chevrolet,Trax,27886,LT,21990
2018,Volkswagen,Atlas,58056,SE 4Motion,28990
2019,Ford,Explorer,74372,XLT,24990
2014,Honda,Accord,81243,EX-L,19590
2017,Cadillac,ATS,71735,Luxury,23590
2009,Chevrolet,Impala,98958,LT,11990
2017,Volkswagen,Jetta,54128,1.4T SE,19590
2020,Ford,EcoSport,50121,Titanium,20990
2017,Chevrolet,Sonic,62909,Premier,16590
2018,Chevrolet,Silverado 1500 Crew Cab,36480,LT 5 3/4 ft,34990
2017,Dodge,Grand Caravan Passenger,97391,SE,17590
2022,BMW,X7,4930,xDrive40i,80990
2011,Jaguar,XF,98119,base,14990
2017,INFINITI,Q50,37204,3.0t Premium,28990
2018,Volkswagen,Tiguan,29263,2.0T SE,25990
2015,Honda,Odyssey,60146,EX-L,27990
2018,Jeep,Compass,51023,Latitude,22990
2019,Lexus,NX,8609,300 F SPORT,37990
2015,Chrysler,200,67340,200C,15990
2014,Honda,Accord,56174,EX-L,21990
2017,Ford,Fusion,67464,S,16990
2019,MAZDA,CX-3,29375,base,23990
2011,MINI,Hardtop,87115,Cooper,12590
2014,Toyota,Camry,88355,XLE,17990
2017,Chevrolet,Tahoe,68480,LT,41990
2018,Kia,Soul,50982,+,17990
2015,Ford,Mustang,29050,V6,25990
2012,Volvo,S60,70373,T5,16990
2019,Volkswagen,Jetta,32090,1.4T S,21990
2019,BMW,X5,42332,xDrive40i,48590
2011,Chevrolet,Camaro,100532,SS,22990
2018,Hyundai,Elantra,52700,SEL,18990
2018,Toyota,RAV4,39732,XLE,27590
2014,Cadillac,ATS,62647,2.5L Standard,19990
2013,Mercedes-Benz,C-Class,42359,C 300 4MATIC Sport,22990
2020,Chevrolet,Malibu,53053,LT,19904
2016,Volkswagen,Tiguan,92377,2.0T S 4Motion,16990
2013,MAZDA,MAZDA5,61801,Sport,15990
2014,Honda,Pilot,62004,EX-L,23990
2012,Hyundai,Sonata,89350,GLS,14590
2011,Acura,TSX,98676,base,15590
2017,Toyota,Camry,103021,SE,17990
2019,Dodge,Grand Caravan Passenger,76968,GT,18652
2017,Chevrolet,Spark,33021,LS,15990
2014,Lexus,IS,74507,IS 250C,25990
2018,Mercedes-Benz,GLA,42422,GLA 250 4MATIC,31590
2022,Honda,CR-V,3059,EX,35590
2016,Ford,Fusion,63540,SE,16990
2017,Chevrolet,Equinox,62463,LS,18990
2013,Dodge,Dart,81922,Limited,13990
2021,Kia,Telluride,16661,SX,50990
2012,Toyota,Prius,68254,Four,21590
2017,Maserati,Ghibli,38964,base,37990
2015,Nissan,Altima,76360,2.5 S,15590
2020,MAZDA,CX-3,3910,Sport,26990
2016,Volkswagen,Tiguan,98204,2.0T SE 4Motion,18590
2013,Toyota,Avalon,89722,XLE Premium,18590
2016,Nissan,Altima,101262,2.5 S,15990
2019,Lexus,UX,7462,200 F SPORT,35990
2018,Jeep,Compass,16873,Sport,23990
2019,Chevrolet,Impala,52008,Premier,26845
2016,Lexus,ES,21253,ES 350,31590
2022,Nissan,Frontier Crew Cab,1164,PRO-4X 5 ft,48590
2019,GMC,Sierra 1500 Double Cab,45389,SLE 6 1/2 ft,36590
2021,Ford,Bronco Sport,17524,Big Bend,33990
2015,Audi,A4,45451,Premium Plus,23990
2018,Kia,Soul,40454,base,17590
2020,Kia,Stinger,32073,GT2,44990
2012,Honda,Odyssey,74754,EX-L,20990
2022,Toyota,Camry Hybrid,13117,XLE,39990
2012,Hyundai,Tucson,88586,Limited,16990
2015,Ford,Edge,97967,SEL,18590
2015,MAZDA,MAZDA3,35896,i Touring,20590
2015,Chevrolet,Silverado 1500 Double Cab,30766,Z71 LT 6 1/2 ft,34990
2017,Jeep,Patriot,74958,Latitude,16990
2015,Volkswagen,Jetta,47994,2.0L S,16990
2018,Ford,Fusion,49810,S,18990
2013,Volkswagen,GTI,67309,Autobahn Hatchback,19990
2019,BMW,X3,17995,sDrive30i,39590
2015,Buick,Regal,15048,Premium I,23590
2017,Land Rover,Range Rover Evoque,54464,SE Premium,31990
2021,Kia,Forte,13947,FE,21990
2016,MAZDA,CX-5,66526,Grand Touring,22590
2017,Chevrolet,Cruze,60102,LS,16590
2013,Hyundai,Sonata,104184,GLS,14590
2016,Subaru,Impreza,28263,2.0i Premium,21990
2021,Chevrolet,Spark,376,LS,19990
2012,Toyota,Camry,86086,LE,15590
2021,Honda,Civic Type R,13488,Touring Hatchback,49590
2020,Toyota,Corolla,47728,LE,21168
2014,Honda,Odyssey,89953,EX,20590
2015,Subaru,Legacy,19147,2.5i Premium,22990
2013,Honda,Pilot,82180,Touring,22990
2020,Dodge,Challenger,4840,R/T Scat Pack Widebody,55548
2011,Nissan,Quest,62107,SL,16990
2017,Volkswagen,Jetta,66448,1.4T S,16990
2018,Nissan,Versa,62383,S,13990
2022,Ford,Maverick,4300,XLT SuperCrew 4 1/2 ft,38590
2019,Chevrolet,Silverado 1500 Limited Double Cab,24935,LT 6 1/2 ft,35990
2020,Toyota,Corolla,43112,LE,22174
2020,Volvo,XC40,38913,T5 R-Design,38990
2012,Jeep,Wrangler,94372,Unlimited Sport,26590
2020,Mercedes-Benz,C-Class,18463,C 300 4MATIC,41990
2017,Chevrolet,Spark,36437,1LT,16990
2017,Lincoln,Continental,81544,Premiere,23990
2014,Mercedes-Benz,E-Class,82359,E 350 4MATIC,21590
2013,Volvo,C70,71088,T5 Platinum,21990
2020,Toyota,Camry,61744,LE,24990
2015,Audi,A5,29763,Premium Plus,31990
2014,Ford,Flex,99013,SE,16990
2019,Dodge,Grand Caravan Passenger,71512,GT,18500
2018,Subaru,Outback,47931,2.5i Limited,29990
2020,GMC,Yukon,60602,SLT,43990
2009,Lexus,RX,92404,RX 350,16990
2018,Chevrolet,Silverado 1500 Double Cab,35330,LT 6 1/2 ft,32990
2018,Toyota,Camry,24647,LE,25990
2020,Hyundai,Elantra,75324,Value Edition,20590
2018,Chevrolet,Equinox,56705,LT,20682
2021,Chevrolet,Colorado Extended Cab,38533,Work Truck 6 ft,29590
2016,Toyota,RAV4,39708,LE,23990
2017,Toyota,Sienna,66368,XLE,32590
2014,Dodge,Grand Caravan Passenger,76085,SE,17990
2018,Honda,Clarity Plug-in Hybrid,24230,Touring,31990
2012,Nissan,Xterra,67222,S,19990
2021,Dodge,Charger,7259,GT,37990
2015,Buick,Regal,66311,base,17590
